cost_version_id,canonical_sku,article_raw,name,direction,color,size,qty,material_cost,labor_cost,unit_cost_rub,order_cost_rub,cost_date,cost_year,owner_file,channel_hint,collection,completeness,source_file_id,source_sheet,source_row_id
CV-8ac52ea8873de652,0-3014,0-3014,СВИТЕР,МД,СЕРЫЙ,S,1.0,,,0.0,0.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r3
CV-9aec483e0a1f242c,0-3073,0-3073,СВИТШОТ,МД,,S M L,3.0,,,0.0,0.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r7
CV-6073940eccdf42a0,0-2406,0-2406,ЮБКА,ИМ/ДЕМИ,,S,1.0,,,0.0,0.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r11
CV-3b848e643da23f59,0-1418,0-1418,БЛУЗА,ИМ,ЧЕРНЫЙ,S,1.0,1811.0,5175.0,6986.0,6986.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r15
CV-2488d459078a6a16,0-2406,0-2406,ЮБКА,ИМ,ЧЕРНЫЙ,M/L,1.0,797.0,,797.0,797.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r19
CV-d1a2d852dfd3826d,0-3014,0-3014,СВИТЕР,МД,СЕРЫЙ,S,1.0,11567.0,9000.0,20567.0,20567.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r23
CV-4577088f98e1f737,0-3039,0-3039,БЛУЗА,ИМ,,S,1.0,,,0.0,0.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r27
CV-9d2cdf2897b4513e,0-3058,0-3058,СВИТШОТ,ИМ,,S M L,3.0,,,0.0,0.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r31
CV-9ba9e7163dd84f54,0-3014,0-3014,СВИТЕР,МД,СЕРЫЙ,S,2.0,11567.0,9000.0,20567.0,41134.0,2024-11-05,2024,ZHUKOVA,,,FULL,FILE-081,2024,r35
CV-f605cfaf6ee25aad,0-2007A,0-2007А,БРЮКИ,ИМ,ЧЕРНЫЙ,S,1.0,973.0,4900.0,5873.0,5873.0,2024-11-05,2024,ZHUKOVA,,,FULL,FILE-081,2024,r39
CV-45e747da7b2b7d01,0-2470,0-2470,ЮБКА,ИМ,ЧЕРНЫЙ,S,1.0,2778.0,4400.0,7178.0,7178.0,2024-11-05,2024,ZHUKOVA,,,FULL,FILE-081,2024,r43
CV-c68df3e7300300da,0-2472,0-2472,БРЮКИ,ИМ,ЧЕРНЫЙ,S,1.0,2316.0,5125.0,7441.0,7441.0,2024-11-05,2024,ZHUKOVA,,,FULL,FILE-081,2024,r47
CV-4afacdef594b09d1,0-3078,0-3078,ЮБКА,ИМ,ЧЕРНЫЙ,L,1.0,2310.0,5000.0,7310.0,7310.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r51
CV-5e274821986d9de8,0-2393,0-2393,ПЛАТЬЕ,ИМ,ЧЕРНЫЙ,S/M,1.0,9254.0,14250.0,23504.0,23504.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r59
CV-fee6e49071e8b355,0-2317,0-2317,ПАЛЬТО,МД,МОЛОКО,S,1.0,8615.0,9350.0,17965.0,17965.0,2024-11-08,2024,ZHUKOVA,,,FULL,FILE-081,2024,r63
CV-1fe8d0aaa07fb37f,0-3054,0-3054,ПЛАТЬЕ,МД,,,1.0,,,0.0,0.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r67
CV-23809a41daf8011f,45-18,45-18,ШОРТЫ,МД,,,1.0,,,0.0,0.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r71
CV-76b9e13eaec69dd5,45-13,45-13,ЮБКА,МД,,,1.0,,,0.0,0.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r75
CV-3dfeaba105131e1c,0-2983,0-2983,ПЛАТЬЕ,МД,,,1.0,,,0.0,0.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r79
CV-c047c22b2531de5b,0-3014,0-3014,СВИТЕР,МД,МОЛ/ЧЕР,,2.0,11187.0,6350.0,17537.0,35074.0,2024-11-13,2024,ZHUKOVA,,,FULL,FILE-081,2024,r83
CV-5a7081a1e227947f,0-3014,0-3014,СВИТЕР,МД,СЕРЫЙ,L,1.0,11567.0,9000.0,20567.0,20567.0,2024-11-11,2024,ZHUKOVA,,,FULL,FILE-081,2024,r87
CV-ef2579915d8e98f5,HГ,НГ,,МД,,,,,,0.0,0.0,2024-11-15,2024,ZHUKOVA,,,FULL,FILE-081,2024,r91
CV-0510fcfd0db40f39,0-3014,0-3014,СВИТЕР,МД,МОЛОКО,S,2.0,11187.0,6350.0,17537.0,35074.0,2024-11-14,2024,ZHUKOVA,,,FULL,FILE-081,2024,r96
CV-d6368df8d1b91c51,0-3041A,0-3041А,ПЛАТЬЕ,ИМ,ЧЕРНЫЙ,S,1.0,6099.0,13925.0,20024.0,20024.0,2024-11-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r100
CV-8011b7a0cef65da6,0-2137,0-2137,БЛУЗА,ИМ,БЕЛЫЙ,F/S,1.0,977.0,4760.0,5737.0,5737.0,2024-11-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r104
CV-6f80df68f023e067,0-2137,0-2137,БЛУЗА,ИМ,ЧЕНЫЙ,F/S,2.0,977.0,4760.0,5737.0,11474.0,2024-11-12,2024,ZHUKOVA,,,FULL,FILE-081,2024,r108
CV-1f181708a3056325,0-3073,0-3073,СВИТШОТ,ПОДАРКИ ИМ,ЧЕРНЫЙ,L,50.0,1718.0,945.0,2663.0,133150.0,2024-11-13,2024,ZHUKOVA,,,FULL,FILE-081,2024,r112
CV-247679bb59a5f111,0-3101,0-3101,ПАЛЬТО,МД,ЧЕРНЫЙ,,2.0,,,0.0,0.0,2024-11-13,2024,ZHUKOVA,,,FULL,FILE-081,2024,r116
CV-43e792e4adaffefa,0-3102,0-3102,ПАЛЬТО,МД,ЧЕРНЫЙ,S,1.0,17677.0,25350.0,43027.0,43027.0,2024-11-13,2024,ZHUKOVA,,,FULL,FILE-081,2024,r120
CV-7c862eb881693ef7,0-3075,0-3075,ФУТБОЛКА,ИМ,ТИРАЖ,L,6.0,1677.0,2500.0,4177.0,25062.0,2024-11-15,2024,ZHUKOVA,,,FULL,FILE-081,2024,r124
CV-50e84e7a82ccdea3,0-3093,0-3093,ПАЛАНТИН,МД,ЧЕРНЫЙ,,1.0,20817.0,9100.0,29917.0,29917.0,2024-12-05,2024,ZHUKOVA,,,FULL,FILE-081,2024,r132
CV-8ba63ddbffd76971,0-3087,0-3087,СУМКИ,МД,ЧЕРНЫЙ,,2.0,1682.0,6025.0,7707.0,15414.0,2024-11-28,2024,ZHUKOVA,,,FULL,FILE-081,2024,r136
CV-87b2d805a5a4d64a,0-2406,0-2406,ЮБКА,ИМ,ЧЕРНЫЙ,M/L,1.0,797.0,3500.0,4297.0,4297.0,2024-11-25,2024,ZHUKOVA,,,FULL,FILE-081,2024,r140
CV-e83138fc6de22416,0-3014,0-3014,СВИТЕР,МД,СЕРЫЙ,,2.0,11567.0,9000.0,20567.0,41134.0,2024-11-21,2024,ZHUKOVA,,,FULL,FILE-081,2024,r144
CV-b1b9d9f1f3dd45da,0-3078,0-3078,ЮБКИ,ИМ ЗАКАЗ,ЧЕРНЫЙ,,6.0,2310.0,5000.0,7310.0,43860.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r148
CV-68af79b3605076e4,0-3078,0-3078,ЮБКИ,ИМ ТИРАЖ,ЧЕРНЫЙ,,4.0,2310.0,5000.0,7310.0,29240.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r152
CV-de7eebe7a7687573,0-3058,0-3058,БЛУЗА,ИМ ЗАКАЗ,ЧЕРНЫЙ,"M,L",2.0,2397.0,5000.0,7397.0,14794.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r156
CV-9b97dee088a589f3,0-2471,0-2471,СВИТШОТ,ИМ ЗАКАЗ,ЧЕРНЫЙ,S,1.0,3197.0,4500.0,7697.0,7697.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r160
CV-7cf9076ce6b8b7b8,0-3052,0-3052,ЮБКА,ИМ ЗАКАЗ,ЧЕРНЫЙ,"М,L",5.0,640.0,4500.0,5140.0,25700.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r164
CV-6d6b49db7de3971c,0-2604,0-2604,ЮБКА,ИМ ЗАКАЗ,ЧЕРНЫЙ,XL,1.0,1030.0,4500.0,5530.0,5530.0,2024-11-22,2024,ZHUKOVA,,,FULL,FILE-081,2024,r168
CV-9e77e9cbf1dde5c5,0-3087,0-3087,СУМКА,МД,,,1.0,,,0.0,0.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r172
CV-87b16e2bd6baab56,0-3081,0-3081,НАКИДКА,МД,,,1.0,,,0.0,0.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r176
CV-177e30196ecfc4bb,0-3086,0-3086,КЕЙП,МД,,,1.0,,,0.0,0.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r180
CV-de4100e50ff80780,0-3084,0-3084,КЕЙП,МД,,,1.0,,,0.0,0.0,2024-11-20,2024,ZHUKOVA,,,FULL,FILE-081,2024,r184
CV-8b2629df955b494d,0-3073,0-3073,СВИТШОТ,ИМ,,,66.0,1718.0,975.0,2693.0,177738.0,2024-12-02,2024,ZHUKOVA,,,FULL,FILE-081,2024,r188
CV-df5d7c1c56657704,0-3029,0-3029,БРЮКИ,ИМ ЗАКАЗ,ЧЕРНЫЙ,ИНД МЕРКИ,1.0,2227.0,4000.0,6227.0,6227.0,2024-12-06,2024,ZHUKOVA,,,FULL,FILE-081,2024,r192
CV-67e3e1b24a9b7eea,0-1672,0-1672,РУБАШКА,ИМ ЗАКАЗ,БЕЛЫЙ,ИНД МЕРКИ,2.0,1636.0,5350.0,6986.0,13972.0,2024-12-10,2024,ZHUKOVA,,,FULL,FILE-081,2024,r196
CV-265a464a3e793c1d,0-3078,0-3078,ЮБКА,ИМ ЗАКАЗ,ЧЕРНЫЙ,ИНД МЕРКИ,1.0,2310.0,5000.0,7310.0,7310.0,2024-11-19,2024,ZHUKOVA,,,FULL,FILE-081,2024,r204
