bank_payment_id,bank_account_id,legal_entity_id,payment_date,period_month,doc_no,direction,amount,debit,credit,currency,counterparty_raw,counterparty_inn,counterparty_id,purpose,doc_type,source_file_id,source_row_id,match_status,cash_line_id,source_bank,is_internal
c9c778e07011dc59,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,887230,out,8.0,8.0,,RUB,Московский банк ПАО СБЕРБАНК,7707083893,,Комиссия внутри Сбербанка за ПП/ПТ через ДБО согласно договору РКО № 40702810638040103938 от '28/09/1999'. №6 (8981.68 RUR  ) от 15/01/24. Без НДС,Sber statement,FILE-103,r12,UNMATCHED,,SBER,N
99a27a344f60f74e,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,5,out,138.0,138.0,,RUB,"АО ""КОМКОР""",7717020170,,"оплата за интернет по сч. 131827-100/12.23-38625 от 31.12.2023 гпо договору № 82851200 от 29.10.09, В том числе НДС 20 % - 23.00 рублей.",Sber statement,FILE-103,r13,UNMATCHED,,SBER,N
1282f044b1d46dcb,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,887232,out,222.0,222.0,,RUB,Московский банк ПАО СБЕРБАНК,7707083893,,"Комиссия в другие банки (кредитные организации, Банк России) за ПП/ПТ через ДБО согласно договору РКО №40702810638040103938 от '28/09/1999'. Документы:  Документ(ы):; от 15/01/24 №№: 3 (2880 RUR  ), 1",Sber statement,FILE-103,r14,UNMATCHED,,SBER,N
34c876b2868e458f,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,7,out,1758.91,1758.91,,RUB,ПАО МГТС,7710016640,,"оплата по сч.  69/32038817509 от 31.12.2023 по договору 0021575-1/2000 от 01.02.2002 г., идент.платежа 000690021575 В том числе НДС 20 % - 293.15 рублей.",Sber statement,FILE-103,r15,UNMATCHED,,SBER,N
95783b5e72be5910,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,4,out,2689.97,2689.97,,RUB,"АО ""КОМКОР""",7717020170,,"оплата за интернет по сч. 131821-11/12.23-38625 от 31.12.2023по договору № 82851200 от 29.10.09, В том числе НДС 20 % - 448.33 рублей.",Sber statement,FILE-103,r16,UNMATCHED,,SBER,N
2e23916849eba25f,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,3,out,2880.0,2880.0,,RUB,"ООО ""Объединенное Экспертное Содружество""",7704361060,,Оплата по за техобслуживание в январе 2024 г. по сч.  24010902 от 09.01.2024 г НДС не облагается.,Sber statement,FILE-103,r17,UNMATCHED,,SBER,N
a449e37f7e966b90,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,6,out,8981.68,8981.68,,RUB,"АО ""ЭКОТЕХПРОМ""",9706038813,,оплата за вывоз ТБО в декабре 2023 г. по сч. ЦАО-0143551 от 31.12.2023 г. НДС не облагается.,Sber statement,FILE-103,r18,UNMATCHED,,SBER,N
cf76e6f4a6822285,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,2,out,18371.7,18371.7,,RUB,Счет по сбору платежей юридических лиц района Тверской,7702070139,,(1071904917#1223) Коммунальные и эксплуатационные услуги за декабрь 2023 года по сч.  29053 от 31.12.2023 г. по дог. 448 от 01.01.2009 В том числе НДС 20 % - 3061.95 рублей.,Sber statement,FILE-103,r19,UNMATCHED,,SBER,N
210ae22bbb172914,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-15,2024-01,1,out,20319.79,20319.79,,RUB,Счет по сбору платежей юридических лиц района Тверской,7702070139,,(1073906545#1223) Коммунальные и эксплуатационные услуги за декабрь 2023 года по сч. 29125 от 31.12.2023 г. по дог.645 от 01.10.2013 В том числе НДС 20 % - 3386.63 рублей.,Sber statement,FILE-103,r20,UNMATCHED,,SBER,N
2406646edd90733c,40702810638040103938,LE-OOO-SALON-YANINA,2024-01-16,2024-01,578925,out,111.0,111.0,,RUB,Московский банк ПАО СБЕРБАНК,7707083893,,"Комиссия в другие банки (кредитные организации, Банк России) за ПП/ПТ через ДБО согласно договору РКО №40702810638040103938 от '28/09/1999'. Документы:  Документ(ы):; от 15/01/24 №№: 279819 (6416 RUR ",Sber statement,FILE-103,r21,UNMATCHED,,SBER,N
